publishedTimeText,simpleText,votes,author,isReply,isHearted,isPinned,isPaid,paidAmount,isSponsor,sponsorshipMonths,cleaned_text
1 day ago,Banger firse,0,@dikshantbhardwaj9447,FALSE,FALSE,FALSE,FALSE,,TRUE,0,Banger firse
1 day ago,kullu and sahiba next please,0,@rer-ed,FALSE,FALSE,FALSE,FALSE,,FALSE,,kullu and sahiba next please
1 day ago,Are bo benguli hai jadu tona kiya hoga tabhi dikha hoga 😅😅😅,0,@mohammedrahid4612,FALSE,FALSE,FALSE,FALSE,,FALSE,,Are bo benguli hai jadu tona kiya hoga tabhi dikha hoga :grinningfacewithsweat::grinningfacewithsweat::grinningfacewithsweat:
1 day ago,Call madhur viri,0,@ritunjayavishor7656,FALSE,FALSE,FALSE,FALSE,,FALSE,,Call madhur viri
1 day ago,Super entertaining episode !,0,@prakashmishra1201,FALSE,FALSE,FALSE,FALSE,,FALSE,,Super entertaining episode
1 day ago,Radhu ko nhi hona chahiye tha,0,@Abhishek28573,FALSE,FALSE,FALSE,FALSE,,FALSE,,Radhu ko nhi hona chahiye tha
1 day ago,Someone explain deepika joke plz,0,@RX100-g5l,FALSE,FALSE,FALSE,FALSE,,FALSE,,Someone explain deepika joke plz
1 day ago,Aman belokar Tuzya may chi gucci,0,@Culverton-b2z,FALSE,FALSE,FALSE,FALSE,,FALSE,,Aman belokar Tuzya may chi gucci
1 day ago,Alakh panda,0,@PradyutDas-f1w,FALSE,FALSE,FALSE,FALSE,,FALSE,,Alakh panda
1 day ago,KILLER EPISODE LOVED IT,0,@lifewithsumii,FALSE,FALSE,FALSE,FALSE,,FALSE,,KILLER EPISODE LOVED IT
1 day ago,https://youtu.be/dfbeS7iEVfU?si=5-R0OKfH33APK2hW,0,@shatakshisrivastava9326,FALSE,FALSE,FALSE,FALSE,,FALSE,,
1 day ago,35:41:00,0,@cupidstarindia,FALSE,FALSE,FALSE,FALSE,,FALSE,,35:41:00
1 day ago (edited),https://youtube.com/@rbsahib-eb9xl?si=TPUiEWhXjHtjo-eE,0,@RbSahib-eb9xl,FALSE,FALSE,FALSE,FALSE,,FALSE,,
1 day ago,super video,0,@Dnabkhz,FALSE,FALSE,FALSE,FALSE,,FALSE,,super video
1 day ago,gand fhaad di bhaii,0,@skmini.vlog..,FALSE,FALSE,FALSE,FALSE,,FALSE,,gand fhaad di bhaii
1 day ago,bhai 6 flavour kha aapne dekhna kuch time mai ek new flavour aaega pka😂 bhai aaega to yaad krna pkaa uss baar wok talk mera,0,@abhilashsharma829,FALSE,FALSE,FALSE,FALSE,,FALSE,,bhai 6 flavour kha aapne dekhna kuch time mai ek new flavour aaega pka:facewithtearsofjoy: bhai aaega to yaad krna pkaa uss baar wok talk mera
1 day ago,10.29 samay ne bottle drop kri 🙂,0,@villain..3444,FALSE,FALSE,FALSE,FALSE,,FALSE,,1029 samay ne bottle drop kri :slightlysmilingface:
1 day ago,Drum waaley ka naam Bund Marley..,0,@ideachi,FALSE,FALSE,FALSE,FALSE,,FALSE,,Drum waaley ka naam Bund Marley
1 day ago,@samayraina bring #SahibaBali ASAP maaaaaaaaaaaaaaaan! she is a good fit 4 the show!,0,@kaoonsaieq9802,FALSE,FALSE,FALSE,FALSE,,FALSE,,samayraina bring SahibaBali ASAP maaaaaaaaaaaaaaaan she is a good fit 4 the show
1 day ago,10:48 balraj gentelman 🎉,0,@neilbhatt6258,FALSE,FALSE,FALSE,FALSE,,FALSE,,10:48 balraj gentelman :partypopper:
1 day ago,yeh bodyguard ko hasi nahi aati kya,0,@karishmashrivastava7961,FALSE,FALSE,FALSE,FALSE,,FALSE,,yeh bodyguard ko hasi nahi aati kya
1 day ago,Bhai dono popper kabhi sath mein nahi fut te,0,@adarsh_wadii,FALSE,FALSE,FALSE,FALSE,,FALSE,,Bhai dono popper kabhi sath mein nahi fut te
1 day ago,Vishal dayama lao,0,@sairajchinchodikar5773,FALSE,FALSE,FALSE,FALSE,,FALSE,,Vishal dayama lao
1 day ago,12:34 crazyyy,0,@mudabbirdalal2355,FALSE,FALSE,FALSE,FALSE,,FALSE,,12:34 crazyyy
1 day ago,yosh,0,@YumHaiHumofficial,FALSE,FALSE,FALSE,FALSE,,FALSE,,yosh
